name,latitude,longitude
Azcapotzalco,19.5114351,-99.20994452
Azcapotzalco,19.51160323,-99.20980165
Azcapotzalco,19.51173235,-99.20969183
Azcapotzalco,19.51175516,-99.20967465
Azcapotzalco,19.51177265,-99.20966148
Azcapotzalco,19.51180051,-99.20964049
Azcapotzalco,19.51180588,-99.20963644
Azcapotzalco,19.51181531,-99.20962934
Azcapotzalco,19.51199208,-99.20949617
Azcapotzalco,19.51215025,-99.20940565
Azcapotzalco,19.51219182,-99.20938185
Azcapotzalco,19.5123068,-99.20931603
Azcapotzalco,19.51240902,-99.20925754
Azcapotzalco,19.51241142,-99.209255
Azcapotzalco,19.51246848,-99.20919468
Azcapotzalco,19.51257876,-99.20907812
Azcapotzalco,19.5125834,-99.20907322
Azcapotzalco,19.51268063,-99.20897048
Azcapotzalco,19.51274896,-99.20886074
Azcapotzalco,19.51284532,-99.20870599
Azcapotzalco,19.51295882,-99.20852372
Azcapotzalco,19.51319538,-99.20814383
Azcapotzalco,19.51321817,-99.20809509
Azcapotzalco,19.51366962,-99.20712929
Azcapotzalco,19.51373146,-99.20701612
Azcapotzalco,19.51395978,-99.20659832
Azcapotzalco,19.51419158,-99.20617415
Azcapotzalco,19.514331,-99.20591903
Azcapotzalco,19.51440625,-99.20580962
Azcapotzalco,19.51460351,-99.20552278
Azcapotzalco,19.51479988,-99.20523725
Azcapotzalco,19.51485755,-99.20514018
Azcapotzalco,19.51496431,-99.20496052
Azcapotzalco,19.51513597,-99.20467165
Azcapotzalco,19.5150342,-99.20433506
Azcapotzalco,19.51490463,-99.20390658
Azcapotzalco,19.51479123,-99.20353152
Azcapotzalco,19.51470085,-99.20323261
Azcapotzalco,19.51461277,-99.20294131
Azcapotzalco,19.51461263,-99.20294085
Azcapotzalco,19.51461261,-99.20294079
Azcapotzalco,19.51461251,-99.20294045
Azcapotzalco,19.51461106,-99.20293564
Azcapotzalco,19.51460939,-99.20293012
Azcapotzalco,19.51455026,-99.2027346
Azcapotzalco,19.51450994,-99.20260122
Azcapotzalco,19.51450692,-99.20259123
Azcapotzalco,19.51450463,-99.20258366
